Time,Distance,Rotation
0,-0.6758939,353.4221
0.007499695,-0.6749161,353.4467
0.01843452,-0.6739174,353.4955
0.02949905,-0.6729203,353.5583
0.04071426,-0.671918,353.6323
0.05184937,-0.670876,353.6868
0.06285667,-0.6698753,353.7704
0.07394409,-0.6688963,353.8552
0.08504105,-0.667829,353.9304
0.09636879,-0.666809,353.9716
0.1072826,-0.6657114,353.9951
0.1183338,-0.6644993,354.0045
0.1296196,-0.6632836,353.9828
0.140831,-0.6619979,353.9484
0.1527958,-0.6607268,353.9355
0.1637611,-0.6594163,353.9397
0.1748734,-0.6579295,353.9514
0.1858521,-0.6563767,353.9585
0.1972237,-0.6548073,353.9532
0.2083855,-0.6531451,353.9442
0.2202473,-0.6514553,353.9512
0.2310677,-0.6496549,353.9697
0.2421436,-0.647887,354.0329
0.2535305,-0.6460713,354.0901
0.2645454,-0.6441926,354.1313
0.2756138,-0.6423612,354.1393
0.2870121,-0.6403394,354.0588
0.2978573,-0.6382498,353.9882
0.3089638,-0.6361177,353.9482
0.3200455,-0.6339967,353.9238
0.3311558,-0.6318809,353.8802
0.342289,-0.6297336,353.7994
0.3533764,-0.6275363,353.7042
0.3644962,-0.6252016,353.6474
0.375679,-0.6229521,353.635
0.3867073,-0.620618,353.7057
0.3977852,-0.618418,353.8357
0.4089355,-0.6160744,353.9592
0.4203072,-0.6137697,354.0793
0.431076,-0.6114182,354.1881
0.4422169,-0.6089779,354.2807
0.4533501,-0.6063771,354.3528
0.4644756,-0.6036208,354.435
0.4755478,-0.6009228,354.5265
0.4869213,-0.5981598,354.6353
0.4981689,-0.5953159,354.7915
0.509037,-0.592451,354.9197
0.5202637,-0.5894955,355.0089
0.5311089,-0.5864114,355.0597
0.5422058,-0.5833819,355.1404
0.5532627,-0.5802171,355.2456
0.5646515,-0.5770799,355.3865
0.5755272,-0.5738527,355.4947
0.5867825,-0.5704485,355.6099
0.5976925,-0.5670418,355.706
0.6088333,-0.563562,355.7849
0.6199093,-0.5599256,355.8421
0.6310711,-0.5561785,355.8663
0.6421337,-0.5520957,355.876
0.6532326,-0.5481828,355.8719
0.6643333,-0.5440871,355.9315
0.6754189,-0.5401264,356.0107
0.6871052,-0.5359687,356.1022
0.69767,-0.5318924,356.2027
0.7088242,-0.527599,356.3029
0.7199326,-0.5233887,356.3796
0.7310181,-0.518908,356.4198
0.7421341,-0.5144633,356.4644
0.753315,-0.5099078,356.4924
0.7642899,-0.5053276,356.5549
0.7754784,-0.500711,356.6142
0.7866478,-0.4960833,356.6732
0.7977333,-0.4913883,356.7143
0.8087349,-0.4865119,356.7255
0.819828,-0.4815282,356.73
0.8310623,-0.4764036,356.7273
0.8424416,-0.4711958,356.7853
0.8533821,-0.4660928,356.8669
0.8643684,-0.4608158,356.9526
0.8753853,-0.455539,357.0234
0.8864899,-0.4502568,357.0611
0.8976479,-0.4448509,357.0736
0.9092827,-0.4394813,357.0558
0.919796,-0.4339803,357.0167
0.93116,-0.4284678,356.9682
0.9420013,-0.4229082,356.9543
0.9534035,-0.4172629,356.9843
0.9645004,-0.4116008,356.9945
0.9756279,-0.4058923,356.9832
0.9867401,-0.4000355,356.9918
0.99757,-0.3939595,356.9992
1.008766,-0.3879837,356.9299
1.020702,-0.382147,356.782
1.030968,-0.3761029,356.5557
1.042053,-0.3700272,356.4436
1.053398,-0.3637738,356.4102
1.064167,-0.3577284,356.3798
1.075344,-0.3517523,356.3853
1.086605,-0.3460172,356.4811
1.097534,-0.3403016,356.6038
1.10862,-0.334596,356.7195
1.119694,-0.329131,356.8414
1.130798,-0.3236586,356.9431
1.14204,-0.3181117,357.0189
1.153111,-0.3125439,357.0855
1.164379,-0.3069789,357.0778
1.175266,-0.3013313,357.0686
1.18713,-0.2957423,357.0565
1.197437,-0.2902396,357.063
1.20892,-0.2846838,357.0685
1.219673,-0.2791544,357.0868
1.230785,-0.2736447,357.1133
1.241901,-0.2681407,357.1285
1.253174,-0.2625241,357.1394
1.264179,-0.256871,357.1239
1.275436,-0.2511945,357.1072
1.286621,-0.2455348,357.0789
1.297554,-0.2398336,357.0368
1.309319,-0.2340168,356.955
1.31966,-0.228084,356.8944
1.331055,-0.2221049,356.838
1.341831,-0.2161696,356.8215
1.35294,-0.2101896,356.8221
1.364048,-0.2042207,356.8397
1.375362,-0.1982288,356.8384
1.38623,-0.1921159,356.7955
1.397488,-0.1864247,356.7269
1.409084,-0.180283,356.6717
1.419788,-0.1742729,356.6225
1.431068,-0.1681371,356.5787
1.441776,-0.1620736,356.5196
1.452888,-0.1559108,356.46
1.464352,-0.1497169,356.3975
1.475105,-0.1435069,356.3116
1.486275,-0.137058,356.2131
1.497555,-0.1306987,356.0758
1.50843,-0.1242124,355.9192
1.519844,-0.1178254,355.7172
1.530785,-0.111351,355.5193
1.542233,-0.1049736,355.3742
1.553238,-0.09854949,355.2661
1.564106,-0.09208024,355.1907
1.575169,-0.08557558,355.1456
1.586567,-0.0787338,355.1361
1.597347,-0.07183588,355.1044
1.60844,-0.06490326,354.9257
1.619564,-0.05823302,354.6903
1.634964,-0.05163991,354.419
1.641705,-0.04502034,354.2991
1.651062,-0.03844368,354.3081
1.662437,-0.03184128,354.3388
1.673519,-0.02538896,354.3919
1.684353,-0.01891065,354.4691
1.69548,-0.01268744,354.5261
1.706703,-0.0064677,354.5459
1.717976,-0.0005153418,354.5961
1.728832,0.005422473,354.6094
1.73991,0.01129615,354.5293
1.751038,0.01706767,354.4659
1.762096,0.02277601,354.3784
1.773361,0.02854455,354.2285
1.7845,0.0342319,354.0447
1.79557,0.04002869,353.8726
1.806614,0.04593813,353.7298
1.81768,0.05172169,353.5874
1.828884,0.05744278,353.5265
1.83984,0.0631237,353.4835
1.850994,0.06892908,353.4503
1.862305,0.07467163,353.4911
1.873207,0.08045483,353.5253
1.884453,0.08627367,353.571
1.895699,0.09202075,353.6752
1.906509,0.09774005,353.7669
1.917831,0.1034907,353.8222
1.928787,0.1092067,353.8523
1.939812,0.1150676,353.8421
1.950943,0.1209264,353.8211
1.962032,0.1269193,353.8015
1.97311,0.1328801,353.7949
1.984215,0.1386281,353.7767
1.99564,0.1446236,353.8033
2.006733,0.1506895,353.8523
2.018017,0.1567031,353.8987
2.029236,0.1628462,353.9664
2.040569,0.1690141,354.0561
2.051754,0.1752011,354.1451
2.063,0.1814348,354.2318
2.074509,0.1877331,354.316
2.08569,0.194153,354.405
2.096947,0.2006627,354.5247
2.107994,0.2072052,354.6696
2.119278,0.213766,354.8202
2.130363,0.2203802,354.9514
2.141495,0.2270247,355.0871
2.152554,0.2337643,355.2004
2.163681,0.2405959,355.3406
2.174793,0.2475609,355.4998
2.186874,0.2545484,355.677
