Time,Distance,Rotation
0,-1.094388,356.0171
0.007764339,-1.094138,356.029
0.01889181,-1.093888,356.024
0.0297389,-1.093657,356.0086
0.04088211,-1.093402,356.0066
0.05223131,-1.093173,356.0018
0.06309795,-1.092931,356.0002
0.07414198,-1.092702,355.9882
0.08552742,-1.092437,355.9738
0.09637594,-1.092183,355.9579
0.1077256,-1.091861,355.9293
0.1186819,-1.091523,355.8955
0.1298575,-1.091151,355.8644
0.1409631,-1.09086,355.8321
0.1529155,-1.09054,355.7946
0.1634598,-1.090117,355.7618
0.1741281,-1.089707,355.7326
0.1852732,-1.089246,355.7138
0.1963739,-1.088799,355.6837
0.2075033,-1.088408,355.6665
0.2186217,-1.087937,355.656
0.2296815,-1.087444,355.6445
0.2407761,-1.087019,355.6541
0.2518568,-1.086532,355.6488
0.2631917,-1.086014,355.6629
0.2742772,-1.085537,355.6687
0.2853131,-1.084988,355.6718
0.2966213,-1.084465,355.6465
0.3074288,-1.083886,355.6084
0.3185558,-1.083317,355.5461
0.3296099,-1.082734,355.456
0.3406954,-1.082055,355.3768
0.351831,-1.081455,355.3074
0.3632278,-1.080776,355.2462
0.3740668,-1.080155,355.1775
0.3852301,-1.07967,355.1024
0.3964839,-1.079012,355.0201
0.4073873,-1.078444,354.9281
0.4186282,-1.077803,354.8566
0.4295936,-1.077149,354.804
0.4406528,-1.076422,354.7658
0.4518051,-1.075615,354.7344
0.4628797,-1.07481,354.7184
0.4739523,-1.074067,354.7171
0.4853988,-1.073518,354.699
0.4962444,-1.072762,354.7059
0.5073295,-1.071961,354.6988
0.5187111,-1.071196,354.7128
0.5295348,-1.070466,354.7281
0.5408068,-1.069687,354.7666
0.551734,-1.068807,354.8005
0.562851,-1.067967,354.8224
0.5739365,-1.067077,354.8396
0.5850616,-1.066244,354.8593
0.5962625,-1.065348,354.8763
0.607255,-1.065459,354.8986
0.6186666,-1.066266,354.9433
0.6294775,-1.065237,355.0101
0.6405506,-1.064183,355.0896
0.651895,-1.063125,355.1971
0.662909,-1.06194,355.3156
0.674005,-1.060856,355.4479
0.6850553,-1.059744,355.5863
0.6961217,-1.058664,355.7313
0.7072663,-1.057511,355.8333
0.7183385,-1.056268,355.9156
0.7294269,-1.05488,355.9878
0.7410893,-1.053545,356.0779
0.75173,-1.052202,356.1931
0.762928,-1.050904,356.2975
0.7741385,-1.049579,356.3909
0.7851791,-1.048257,356.4794
0.7960739,-1.046936,356.5575
0.8071918,-1.045612,356.6283
0.8183041,-1.044262,356.663
0.829483,-1.042688,356.6958
0.8405018,-1.041201,356.6852
0.8519235,-1.039611,356.6673
0.8626957,-1.038039,356.6243
0.8738174,-1.036447,356.5969
0.8849359,-1.034829,356.5807
0.8960738,-1.033105,356.5598
0.9073472,-1.031364,356.5214
0.9184175,-1.029556,356.4865
0.929368,-1.027563,356.4281
0.9405231,-1.025563,356.3647
0.9515638,-1.023356,356.2886
0.9628739,-1.021049,356.2178
0.9737773,-1.018743,356.1594
0.9853301,-1.01631,356.0978
0.9963307,-1.013744,356.0534
1.007102,-1.011043,356.0233
1.01823,-1.008329,356.0089
1.029569,-1.005448,356.009
1.040637,-1.002384,355.9994
1.051665,-0.9991635,355.9965
1.062606,-0.9956204,355.9977
1.073802,-0.9920649,356.022
1.084817,-0.9883178,356.0593
1.096133,-0.9845457,356.0934
1.107039,-0.9805337,356.1606
1.118187,-0.9764922,356.2217
1.12923,-0.9720448,356.304
1.140714,-0.9676741,356.3824
1.151799,-0.9631144,356.4724
1.16259,-0.958358,356.5433
1.173882,-0.9535068,356.629
1.184961,-0.9482712,356.6864
1.195881,-0.9430691,356.7406
1.206977,-0.9376053,356.8111
1.218183,-0.932025,356.8708
1.229357,-0.9263122,356.9268
1.240329,-0.920491,356.9811
1.251407,-0.9144725,357.0122
1.262811,-0.9080981,357.0103
1.274419,-0.901701,356.9924
1.284899,-0.8949928,356.9496
1.295964,-0.8882774,356.9261
1.306965,-0.8813586,356.9103
1.318212,-0.8742613,356.8916
1.329199,-0.8670146,356.8707
1.340487,-0.8596206,356.8264
1.352268,-0.852075,356.7823
1.362584,-0.8442868,356.7182
1.373631,-0.8363081,356.7072
1.384685,-0.827922,356.6461
1.39577,-0.8197664,356.5839
1.406912,-0.8115554,356.605
1.418242,-0.8034481,356.7532
1.429229,-0.7951541,356.9304
1.440212,-0.7868826,357.0694
1.451529,-0.7783971,357.1279
1.462442,-0.769927,357.139
1.473538,-0.7615458,357.1557
1.484732,-0.7530234,357.0957
1.495798,-0.7445489,357.1519
1.506872,-0.7361004,357.0942
1.518264,-0.7277833,357.1218
1.529131,-0.7194034,357.1249
1.540414,-0.711146,357.1692
1.551795,-0.7027959,357.1852
1.562371,-0.6945283,357.1848
1.573482,-0.6863445,357.1975
1.584584,-0.6781754,357.2101
1.595825,-0.6701784,357.254
1.606988,-0.6623582,357.2768
1.618431,-0.6545408,357.3035
1.629045,-0.6467543,357.3488
1.640138,-0.639026,357.3925
1.651234,-0.6314861,357.4056
1.662314,-0.6240915,357.4155
