Time,Distance,Rotation
0,-1.069137,3.490935
0.01084328,-1.069264,3.476361
0.02183914,-1.069199,3.463166
0.03282166,-1.069163,3.459616
0.04405975,-1.069169,3.464457
0.05500984,-1.069144,3.480771
0.06620789,-1.069132,3.48544
0.07799721,-1.069159,3.507574
0.08834457,-1.069185,3.519702
0.09976196,-1.069222,3.52811
0.1105137,-1.069235,3.532386
0.121645,-1.069215,3.540047
0.1327515,-1.069156,3.540963
0.143856,-1.069151,3.531055
0.1551285,-1.069098,3.52371
0.1662064,-1.069012,3.530916
0.1777782,-1.068976,3.528538
0.1884499,-1.068975,3.527341
0.199398,-1.068855,3.51335
0.2105293,-1.068708,3.503854
0.2217503,-1.068527,3.493827
0.2327251,-1.06834,3.501568
0.2441635,-1.06826,3.507304
0.2549419,-1.067939,3.536724
0.2660618,-1.067694,3.543742
0.2771988,-1.067426,3.559283
0.2882214,-1.067228,3.575304
0.2994614,-1.066981,3.590198
0.3105354,-1.066721,3.618065
0.3216343,-1.066364,3.662099
0.3326721,-1.066095,3.707406
0.3437519,-1.065817,3.75961
0.3549519,-1.065578,3.80005
0.3662624,-1.065287,3.833997
0.3774223,-1.065014,3.852985
0.3881912,-1.064677,3.861197
0.3994865,-1.06432,3.865578
0.4104443,-1.063858,3.871082
0.4215145,-1.063444,3.895936
0.4326,-1.063035,3.906166
0.4437847,-1.062699,3.934703
0.4547977,-1.062295,3.957778
0.4659386,-1.061836,3.988167
0.4773293,-1.061452,4.008833
0.4885941,-1.060983,4.019706
0.4993229,-1.060522,4.023668
0.5104084,-1.06014,4.024803
0.5216675,-1.059664,4.022314
0.5327969,-1.059144,4.018305
0.5438042,-1.058645,4.01076
0.5547905,-1.058239,3.992134
0.5660324,-1.05765,3.970129
0.5770283,-1.057101,3.948809
0.5881462,-1.056531,3.918327
0.5992641,-1.05597,3.910153
0.6103363,-1.055375,3.903056
0.6214161,-1.054698,3.890044
0.6325703,-1.054052,3.875461
0.6437759,-1.053382,3.862519
0.6548271,-1.05271,3.841544
0.6659107,-1.052017,3.814951
0.6771107,-1.051306,3.788563
0.6881542,-1.050583,3.764514
0.6991768,-1.049781,3.742201
0.7103024,-1.048905,3.696182
0.7214642,-1.047988,3.649888
0.7325268,-1.047073,3.598869
0.7436028,-1.046165,3.562035
0.7547112,-1.04527,3.525377
0.765852,-1.044386,3.500457
0.7770901,-1.043528,3.48342
0.788002,-1.042615,3.467085
0.7991314,-1.041692,3.441962
0.8102493,-1.040913,3.421367
0.8213997,-1.039997,3.411258
0.8324871,-1.039127,3.399514
0.8436852,-1.038187,3.410629
0.8546944,-1.037271,3.402861
0.8658733,-1.036336,3.390083
0.8772278,-1.035303,3.367555
0.8882732,-1.034231,3.334838
0.8993397,-1.033078,3.280751
0.9101753,-1.031805,3.214874
0.9214993,-1.030535,3.137477
0.9323807,-1.029122,3.079187
0.9435043,-1.027751,3.050142
0.9546165,-1.026428,3.052291
0.9657536,-1.024971,3.068545
0.9768791,-1.023503,3.080827
0.9880848,-1.021933,3.092092
0.9993286,-1.020211,3.104098
1.010273,-1.018483,3.127659
1.021263,-1.016678,3.144623
1.032597,-1.014824,3.150914
1.043446,-1.012822,3.143662
1.054523,-1.010706,3.118512
1.06567,-1.008508,3.078049
1.076931,-1.006126,3.037181
1.087898,-1.003613,2.982186
1.099068,-1.00106,2.941149
1.110142,-0.9983591,2.897584
1.121235,-0.9956305,2.848872
1.132347,-0.9926986,2.817496
1.143986,-0.9896632,2.771021
1.154663,-0.9863621,2.718931
1.165703,-0.9831069,2.672145
1.176708,-0.9797052,2.624684
1.187866,-0.9761449,2.58927
1.19894,-0.972656,2.565174
1.210083,-0.9690425,2.570548
1.221302,-0.9653043,2.570778
1.232376,-0.9616472,2.573355
1.243382,-0.9577674,2.583707
1.254505,-0.9536896,2.598578
1.26564,-0.949592,2.601103
1.276722,-0.9453281,2.595906
1.287819,-0.9409173,2.579752
1.299385,-0.9365138,2.573156
1.310333,-0.9319286,2.580595
1.321255,-0.9272462,2.620622
1.332283,-0.9224616,2.659041
1.343346,-0.9176089,2.692126
1.354832,-0.912565,2.730926
1.36562,-0.9074656,2.772552
1.376972,-0.9022694,2.816962
1.387798,-0.8968656,2.847106
1.39888,-0.8915164,2.881975
1.409966,-0.8858705,2.898082
1.42136,-0.8802202,2.89797
1.433022,-0.8739539,2.888738
1.443298,-0.8686247,2.872403
1.454369,-0.8627422,2.854935
1.466331,-0.8567809,2.849121
1.476578,-0.8507465,2.852019
1.487801,-0.8444766,2.897361
1.499031,-0.8380083,2.937901
1.510086,-0.8315427,2.897538
1.521378,-0.8250382,2.825693
1.532314,-0.8184263,2.738859
1.543324,-0.8117471,2.661371
1.554451,-0.8051646,2.628561
1.565552,-0.7986323,2.639491
1.576893,-0.7920276,2.687054
1.587688,-0.7855397,2.694428
1.598778,-0.7791215,2.680588
1.610134,-0.7726964,2.615607
1.621338,-0.7663268,2.546195
1.636356,-0.7599689,2.449681
1.643433,-0.7537519,2.342999
1.652729,-0.7474116,2.207921
1.663803,-0.7411852,2.093098
1.674881,-0.7350274,1.998064
1.685944,-0.729256,1.949363
1.697163,-0.7231001,1.906647
1.708157,-0.7171592,1.857875
1.71933,-0.7111225,1.787538
1.730354,-0.7051834,1.693761
1.741764,-0.6991987,1.596103
1.752563,-0.6931877,1.521455
1.76368,-0.6871854,1.481958
1.774918,-0.6811341,1.4691
1.785873,-0.6751615,1.483456
1.796989,-0.6690694,1.512993
1.80809,-0.6629992,1.572107
1.81934,-0.6570747,1.624626
1.830288,-0.6510193,1.712278
1.841717,-0.6448956,1.798208
1.852699,-0.6387228,1.932735
1.86359,-0.6325788,2.052935
1.874718,-0.6264173,2.158663
1.885963,-0.620289,2.244666
1.89695,-0.6142718,2.331457
1.908028,-0.6081262,2.419656
1.919163,-0.601944,2.518048
1.930351,-0.5957162,2.619851
1.941601,-0.5895721,2.698938
1.952595,-0.5831977,2.743756
1.963745,-0.5766697,2.745243
1.974758,-0.5701143,2.721549
1.985863,-0.5634365,2.719508
1.997124,-0.5567549,2.716874
2.008514,-0.5500844,2.729667
2.019596,-0.543348,2.762204
2.030888,-0.536729,2.834357
2.042068,-0.5301257,2.94359
2.053326,-0.5237447,3.060931
2.064522,-0.5171089,3.159072
2.075832,-0.510483,3.237533
2.08707,-0.5038879,3.310111
2.098583,-0.4971774,3.354821
2.109497,-0.4905107,3.377944
2.120785,-0.4837464,3.404969
2.132011,-0.4769064,3.427558
2.142929,-0.47017,3.42617
2.154087,-0.4633815,3.451558
2.165459,-0.4565235,3.493884
2.176571,-0.4495624,3.510163
2.187454,-0.4425454,3.499459
2.198494,-0.4353962,3.450957
2.209724,-0.428229,3.39469
2.220753,-0.4207793,3.342136
2.23204,-0.4133915,3.324515
2.242992,-0.4057933,3.358911
2.254177,-0.3981223,3.397911
2.265156,-0.3904154,3.426435
2.276367,-0.3826314,3.446661
2.28817,-0.3747603,3.471148
2.298767,-0.3667337,3.539708
2.309841,-0.3584775,3.695957
2.320992,-0.3501903,3.832056
2.332096,-0.3419693,3.95332
2.343384,-0.3336525,4.079537
2.354332,-0.3252527,4.217907
2.365761,-0.3168712,4.332864
2.376488,-0.308539,4.439727
2.387341,-0.3003751,4.510843
2.398479,-0.2922107,4.563936
2.40992,-0.284165,4.64793
2.420925,-0.2761699,4.756621
2.43214,-0.2682741,4.892055
2.443089,-0.2605816,5.042264
2.454391,-0.2529814,5.223211
2.465332,-0.2452666,5.383554
2.476677,-0.2375635,5.500131
2.48769,-0.2298857,5.595703
2.498711,-0.2222962,5.739889
2.509922,-0.2148401,5.909087
2.521149,-0.207539,6.142539
2.532333,-0.2003947,6.427998
2.543354,-0.1932425,6.719309
2.554626,-0.1862205,7.058913
2.565548,-0.1791856,7.367053
2.576649,-0.1722035,7.636493
2.588131,-0.1652046,7.865268
2.598854,-0.1582931,8.046182
2.60989,-0.1513894,8.177532
2.620911,-0.1444857,8.296552
2.632072,-0.1375446,8.364934
2.642872,-0.1306098,8.383101
2.654007,-0.1237193,8.392883
2.665154,-0.1168088,8.411139
2.676178,-0.1100059,8.481238
2.687531,-0.1031615,8.565906
2.6996,-0.09634387,8.653547
2.709526,-0.08954883,8.743011
2.720528,-0.08278036,8.855635
2.731598,-0.0760926,8.979465
2.742733,-0.06932449,9.120398
2.753838,-0.06249833,9.237735
2.764915,-0.05576766,9.359657
2.776279,-0.04896486,9.467447
2.78714,-0.04218161,9.556257
2.798367,-0.03528726,9.591579
2.809528,-0.02832162,9.62423
2.820477,-0.02122581,9.633719
2.831554,-0.01401138,9.633722
2.84267,-0.006829977,9.633
2.854088,0.0004529953,9.662603
2.864929,0.007743716,9.723528
2.875999,0.01516616,9.801358
2.887104,0.02267992,9.869073
2.898407,0.03038633,9.911563
2.909401,0.03820169,9.927249
2.920391,0.04598773,9.942718
2.931599,0.05398285,9.958538
2.943043,0.06184185,9.987215
2.954185,0.06990469,10.03016
2.965191,0.07782972,10.06028
