Time,Distance,Rotation
0,-1.083468,353.1581
0.007736206,-1.083311,353.2372
0.01869488,-1.083219,353.3182
0.02964115,-1.083028,353.3434
0.04094124,-1.082799,353.3026
0.05185604,-1.082663,353.2095
0.06290054,-1.082408,353.1076
0.07407093,-1.082421,353.0176
0.08515835,-1.082193,352.9526
0.09646702,-1.081994,352.9091
0.1076984,-1.081754,352.8677
0.1186924,-1.081513,352.8359
0.1295176,-1.081373,352.7974
0.1405735,-1.081119,352.7554
0.1528053,-1.08065,352.6901
0.1631603,-1.080411,352.6268
0.1745672,-1.080225,352.5701
0.1850195,-1.080018,352.521
0.1961746,-1.079785,352.4878
0.2075176,-1.079563,352.4423
0.2185078,-1.079229,352.4043
0.2295465,-1.07876,352.3457
0.2405567,-1.078259,352.2559
0.2517023,-1.077669,352.1749
0.2627659,-1.07712,352.1152
0.2738295,-1.076564,352.106
0.285224,-1.075933,352.1074
0.2964211,-1.07524,352.1539
0.3076611,-1.074499,352.2101
0.3182869,-1.073745,352.2813
0.3294983,-1.072872,352.3476
0.3405828,-1.072014,352.3961
0.3516893,-1.070994,352.4461
0.362772,-1.070007,352.4841
0.3738403,-1.068859,352.5321
0.3849125,-1.067815,352.5773
0.3959827,-1.066848,352.6354
0.4070826,-1.065779,352.6917
0.418951,-1.064721,352.754
0.4294796,-1.06358,352.7876
0.4404058,-1.062368,352.7759
0.4515152,-1.061023,352.7105
0.4626369,-1.059693,352.629
0.4738331,-1.058332,352.5381
0.484828,-1.056928,352.4633
0.4960489,-1.055697,352.4612
0.5076246,-1.054402,352.5112
0.5186749,-1.053095,352.5569
0.5292978,-1.051648,352.5618
0.5404234,-1.05015,352.4935
0.5514994,-1.048679,352.4095
0.5628052,-1.047219,352.309
0.5736828,-1.045713,352.2067
0.5847979,-1.043984,352.1114
0.5959539,-1.042309,352.0151
0.6077709,-1.040579,351.9285
0.6186285,-1.038777,351.821
0.6293201,-1.036837,351.6945
0.640336,-1.034796,351.5925
0.6514578,-1.03276,351.5102
0.6625967,-1.030679,351.4598
0.6736555,-1.028506,351.3956
0.6848249,-1.026165,351.3334
0.6958809,-1.023686,351.2499
0.707386,-1.021071,351.1261
0.7189255,-1.018264,350.9999
0.7292252,-1.015428,350.9012
0.740284,-1.012477,350.8391
0.7514601,-1.009353,350.7933
0.7625504,-1.006189,350.7229
0.7736311,-1.002944,350.6429
0.7847567,-0.9995397,350.5609
0.7958193,-0.9961316,350.5013
0.8069859,-0.9925301,350.4554
0.8182964,-0.9889278,350.4211
0.8291597,-0.9851751,350.3725
0.8403149,-0.981455,350.3171
0.8513603,-0.9775593,350.2925
0.8624506,-0.9737882,350.2739
0.8737049,-0.9697386,350.2878
0.8848515,-0.965623,350.2657
0.8957567,-0.9614016,350.2242
0.9068918,-0.9568115,350.1795
0.9180117,-0.9523048,350.124
0.9291267,-0.947699,350.0784
0.9402294,-0.942995,350.0293
0.951335,-0.9381215,349.9811
0.9623871,-0.9332824,349.9184
0.973506,-0.9281545,349.8582
0.9847145,-0.9228928,349.7736
0.9957972,-0.9174926,349.6795
1.007168,-0.9119158,349.5828
1.018001,-0.9061315,349.5116
1.02917,-0.9002839,349.4648
1.040248,-0.8944291,349.4533
1.051247,-0.8884015,349.487
1.062626,-0.8822933,349.5502
1.073561,-0.8761417,349.6478
1.084645,-0.8700094,349.7678
1.095921,-0.8638518,349.8801
1.107219,-0.8574863,350.0154
1.117991,-0.8511219,350.148
1.129146,-0.8445323,350.2832
1.140432,-0.8379619,350.2469
1.151771,-0.831241,350.1226
1.162553,-0.8245178,350.059
1.173678,-0.8178269,350.0851
