Time,Distance,Rotation
0,-1.155619,354.9842
0.007504463,-1.155419,354.9478
0.01869392,-1.155368,354.9134
0.02956152,-1.155169,354.8909
0.04088926,-1.154966,354.8943
0.05205107,-1.154698,354.906
0.07050991,-1.154389,354.9431
0.07415009,-1.154034,354.9901
0.08598518,-1.153631,355.0414
0.09696054,-1.153233,355.0946
0.1073046,-1.152867,355.1646
0.1183352,-1.15265,355.2333
0.1294971,-1.152368,355.324
0.1406403,-1.15215,355.4319
0.15168,-1.151947,355.5762
0.1633162,-1.151729,355.7313
0.1739998,-1.151602,355.8913
0.1852245,-1.151402,356.0127
0.1961727,-1.151172,356.1048
0.2073336,-1.150942,356.127
0.2216382,-1.150617,356.1011
0.2294869,-1.150295,356.0424
0.2406049,-1.150008,355.9805
0.2516875,-1.149623,355.8975
0.2630205,-1.149247,355.8297
0.273819,-1.148767,355.7466
0.2852235,-1.148268,355.6682
0.2960701,-1.147663,355.5822
0.3074083,-1.14705,355.4857
0.3184481,-1.14632,355.3864
0.3295341,-1.145391,355.3057
0.3405037,-1.144415,355.2287
0.3520718,-1.14327,355.1722
0.3629241,-1.142124,355.1278
0.3777919,-1.140842,355.0827
0.3849916,-1.1394,355.0692
0.3965788,-1.137887,355.0895
0.4075599,-1.136367,355.1252
0.4185996,-1.134768,355.1657
0.4296455,-1.133155,355.2113
0.4404993,-1.131554,355.2608
0.4515405,-1.129875,355.3425
0.4626861,-1.128243,355.42
0.4740233,-1.126674,355.4862
0.4848676,-1.124998,355.5355
0.4965258,-1.123218,355.5958
0.5070848,-1.121436,355.6601
0.5182934,-1.119597,355.7379
0.5324059,-1.117771,355.8125
0.5403805,-1.115974,355.8719
0.551465,-1.114103,355.9262
0.5626478,-1.112286,355.9799
0.573926,-1.11035,356.0124
0.5849991,-1.108515,356.0282
0.596199,-1.106575,356.0497
0.6070442,-1.104575,356.059
0.6181316,-1.102452,356.0685
0.6292562,-1.100421,356.0781
0.6403513,-1.098362,356.078
0.6514502,-1.096245,356.0913
0.6625566,-1.09407,356.1236
0.6740789,-1.091849,356.1414
0.6878691,-1.089559,356.1506
0.6963053,-1.087222,356.1483
0.7070017,-1.084814,356.1458
0.7182846,-1.082432,356.1353
0.729187,-1.079928,356.1339
0.7403278,-1.077451,356.1432
0.7515745,-1.074775,356.1748
0.7626047,-1.07213,356.2273
0.773716,-1.069391,356.2839
0.7848339,-1.066602,356.3353
0.7962437,-1.063655,356.3738
0.8073435,-1.060588,356.4027
0.8183537,-1.057495,356.422
0.8294134,-1.054241,356.446
0.8434572,-1.050928,356.4771
0.8513441,-1.047555,356.4946
0.8639107,-1.043658,356.5228
0.8736544,-1.040426,356.5527
0.8847427,-1.036664,356.5714
0.8964281,-1.032903,356.5724
0.9068918,-1.028971,356.5756
0.9179773,-1.025127,356.5877
0.9291315,-1.021056,356.6021
0.9402018,-1.016878,356.6264
0.9513168,-1.012689,356.6404
0.9624672,-1.008239,356.6461
0.9735622,-1.003572,356.6245
0.9846897,-0.9989517,356.5628
0.9989042,-0.9941306,356.505
1.00707,-0.9892622,356.4404
1.018188,-0.9843159,356.3882
1.029176,-0.9792844,356.3416
1.040401,-0.9741652,356.3048
1.051314,-0.9689556,356.2583
1.062401,-0.9638225,356.2131
1.073526,-0.9585875,356.1999
1.084596,-0.9532173,356.1899
1.095927,-0.9476875,356.2233
1.107021,-0.942269,356.2315
1.117882,-0.9367784,356.2174
1.129013,-0.9311905,356.1804
1.14018,-0.9255368,356.1398
1.15419,-0.9198028,356.1136
1.166742,-0.9140837,356.0997
1.17347,-0.9082556,356.1001
1.182689,-0.9025414,356.1062
1.193851,-0.8967401,356.1543
1.204934,-0.8911228,356.2235
1.216017,-0.8856261,356.3002
1.227291,-0.8801048,356.3637
1.238212,-0.8746591,356.4186
1.249489,-0.869181,356.4517
1.260771,-0.8639061,356.4643
1.2721,-0.8586211,356.4517
1.282651,-0.8533345,356.4294
1.293839,-0.8481213,356.4357
1.308002,-0.8428632,356.4262
1.315939,-0.8376949,356.3962
1.327296,-0.8326284,356.3237
1.338342,-0.827664,356.2291
1.349353,-0.8227071,356.1388
1.360594,-0.8178066,356.0573
1.371629,-0.812827,355.974
1.382663,-0.8079216,355.8649
1.393758,-0.8029964,355.7766
1.404862,-0.7981349,355.7267
1.41593,-0.7933036,355.7029
1.427015,-0.7886977,355.6936
1.438139,-0.7840519,355.6624
1.449583,-0.7794079,355.6192
1.463594,-0.7748016,355.5624
1.471664,-0.7701586,355.5159
1.4826,-0.7654716,355.4633
1.493862,-0.7608052,355.4219
1.504939,-0.7561327,355.4009
1.516147,-0.7514453,355.3948
1.527432,-0.7467171,355.4053
1.538791,-0.7421429,355.447
1.549761,-0.7375628,355.5308
1.560903,-0.7330438,355.6491
1.572162,-0.728478,355.8032
1.583419,-0.7239795,355.9341
1.594647,-0.7193286,356.0383
1.606241,-0.7147497,356.1211
1.620457,-0.7101654,356.1769
1.62852,-0.7055348,356.2215
1.639727,-0.7008494,356.2563
1.650947,-0.6960851,356.2831
1.662271,-0.6913038,356.2961
1.673315,-0.6864235,356.2791
1.684629,-0.6815504,356.2467
1.695477,-0.6766638,356.1649
1.706644,-0.6715976,356.0928
1.717634,-0.6666021,356.0024
1.728706,-0.6614815,355.9294
1.740161,-0.6562829,355.8541
1.751172,-0.6510798,355.8065
1.762369,-0.6457317,355.7701
1.77647,-0.6403359,355.7464
1.784312,-0.6349088,355.6963
1.795446,-0.629441,355.6243
1.806676,-0.623742,355.5614
1.817616,-0.6180636,355.5106
1.828739,-0.6123437,355.5026
1.840138,-0.6066109,355.5047
1.850976,-0.6007155,355.5011
1.862055,-0.5947332,355.4918
1.873128,-0.588684,355.4899
1.884231,-0.5823867,355.4513
1.895509,-0.5761169,355.3682
1.906553,-0.5699178,355.2966
1.917648,-0.5637178,355.1986
1.931929,-0.5574247,355.1837
1.939752,-0.5512357,355.264
1.951155,-0.5450633,355.3276
1.962043,-0.538831,355.3341
1.973075,-0.5326005,355.2646
1.984468,-0.5263631,355.178
1.995283,-0.5201539,355.1433
2.006553,-0.5139402,355.1005
2.017497,-0.5076905,355.0038
2.028625,-0.5015762,354.9146
2.039696,-0.4956443,354.8636
2.050921,-0.4899271,354.9064
2.062001,-0.4843278,355.0602
2.073471,-0.4789714,355.2061
2.087396,-0.4735922,355.3263
2.095213,-0.4682355,355.441
2.106348,-0.4629252,355.5401
2.117424,-0.45775,355.6046
2.12855,-0.452515,355.6298
2.139707,-0.4473038,355.5977
2.150766,-0.4421331,355.5818
2.162051,-0.4370706,355.5817
2.173274,-0.4320763,355.619
2.184185,-0.4270567,355.6677
2.195284,-0.4220203,355.7424
2.206639,-0.4170083,355.8081
2.217458,-0.4120578,355.8533
2.228558,-0.4070989,355.9084
2.242834,-0.4022661,355.9526
2.251012,-0.3973166,356.01
2.261857,-0.3924042,356.067
