Time,Distance,Rotation
0,-1.056301,355.8058
0.01098442,-1.055845,355.6887
0.02201843,-1.05528,355.551
0.03289413,-1.054695,355.3944
0.04403877,-1.053994,355.2328
0.05506516,-1.053306,355.0781
0.066185,-1.052671,354.9059
0.07730484,-1.052009,354.7531
0.0888176,-1.05127,354.6119
0.09946442,-1.050527,354.4933
0.1108551,-1.049693,354.4004
0.1217899,-1.048906,354.3191
0.1329079,-1.048053,354.2472
0.144495,-1.047218,354.1814
0.1552868,-1.046317,354.1092
0.1662846,-1.045369,354.0314
0.1772308,-1.044361,353.9746
0.1883831,-1.043354,353.9181
0.1996307,-1.042365,353.8617
0.2108345,-1.041306,353.8101
0.2220058,-1.040236,353.7349
0.2327881,-1.039035,353.6279
0.2438755,-1.037825,353.4973
0.2552471,-1.036477,353.3419
0.2661095,-1.035093,353.1953
0.2773285,-1.033727,353.1108
0.2887821,-1.032468,353.1088
0.2994595,-1.03116,353.1591
0.3105125,-1.029965,353.2114
0.3216877,-1.028685,353.1775
0.3329334,-1.027451,353.0551
0.343832,-1.026227,352.8889
0.3550282,-1.025023,352.726
0.3660469,-1.023836,352.5589
0.3771858,-1.022571,352.3892
0.3882847,-1.021314,352.2095
0.3993397,-1.019901,352.0135
0.4106579,-1.018186,351.8597
0.4218655,-1.016748,351.7263
0.4327106,-1.015145,351.6164
0.4438362,-1.013579,351.5235
0.4549866,-1.011908,351.4546
0.4660053,-1.010237,351.4382
0.4771099,-1.008435,351.4605
0.488203,-1.006777,351.4742
0.4996338,-1.005039,351.5549
0.5103912,-1.003274,351.6208
0.5215721,-1.001347,351.6794
0.5326538,-0.9994107,351.7227
0.5438156,-0.9973798,351.7542
0.554842,-0.9952266,351.786
0.5660896,-0.9929933,351.7994
0.5771561,-0.9905216,351.8206
0.5881577,-0.988162,351.882
0.5994377,-0.9856885,352.0166
0.6103954,-0.9831202,352.179
0.6214924,-0.9806467,352.3831
0.6326504,-0.9781795,352.6331
0.6437149,-0.9757458,352.8679
0.6550541,-0.9732008,353.0887
0.6659145,-0.9706392,353.2834
0.6769943,-0.9681004,353.4721
0.6881523,-0.9655102,353.6862
0.6994324,-0.9628402,353.8915
0.7104435,-0.960039,354.0525
0.7214546,-0.9573007,354.155
0.7325516,-0.9543776,354.1938
0.7436256,-0.9514116,354.256
0.7551346,-0.9484836,354.3597
0.7662125,-0.9453676,354.471
0.7773781,-0.9422823,354.5537
0.7883797,-0.9391506,354.6238
0.7992382,-0.9359814,354.7068
0.8103123,-0.9327201,354.7607
0.8215923,-0.9293573,354.7724
0.8324776,-0.925908,354.7143
0.8436241,-0.9224187,354.6335
0.8550434,-0.9190066,354.5649
0.8658581,-0.9155293,354.5156
0.8769226,-0.9120808,354.4992
0.8880577,-0.9086367,354.542
0.8994274,-0.9051278,354.6281
0.9104996,-0.901602,354.7376
0.921526,-0.8981071,354.9
0.9327755,-0.8945299,355.0608
0.943737,-0.8909152,355.2016
0.9548244,-0.8872084,355.2793
0.9659386,-0.8834122,355.3022
0.9768791,-0.8796602,355.3227
0.9882774,-0.875909,355.3858
0.9991283,-0.8721909,355.477
1.010181,-0.8683578,355.5916
1.021646,-0.864614,355.7036
1.03249,-0.8608308,355.8085
1.043499,-0.8568973,355.9208
1.055014,-0.852962,356.0533
1.06587,-0.8489802,356.1666
1.076956,-0.8450111,356.2685
1.087986,-0.8410751,356.3514
1.099171,-0.8371254,356.3943
1.110172,-0.833128,356.4474
1.121332,-0.8290409,356.444
1.132418,-0.824942,356.3945
1.143496,-0.8207442,356.3061
1.154665,-0.8165411,356.2245
1.165964,-0.812331,356.1683
1.176796,-0.8081424,356.151
1.187944,-0.8039182,356.1766
1.198975,-0.7997364,356.2249
1.210178,-0.7954344,356.2512
1.221571,-0.7911879,356.2608
1.232729,-0.7868875,356.2476
1.243816,-0.7825528,356.2182
1.255125,-0.778149,356.1735
1.265745,-0.7736682,356.1097
1.276733,-0.7693168,356.0522
1.288181,-0.7648122,356.0076
1.299026,-0.7603266,355.9652
1.310125,-0.7557727,355.9518
1.321819,-0.7511437,355.9406
1.332939,-0.7465411,355.9558
1.343483,-0.741967,356.0065
1.354559,-0.737449,356.0289
1.365847,-0.7327812,356.0387
1.376934,-0.7279347,356.0305
1.388189,-0.7232356,356.0304
1.399282,-0.7185655,356.0693
1.410065,-0.7138629,356.0727
1.421185,-0.7091007,356.0453
1.432472,-0.704309,356.0479
1.443304,-0.6994559,356.0758
1.454439,-0.6943356,356.0771
1.465796,-0.6892146,355.9928
1.476645,-0.6840459,355.8524
1.487741,-0.6788192,355.7291
1.49888,-0.6736892,355.6628
1.510044,-0.6684737,355.652
1.52124,-0.663403,355.6748
1.53232,-0.6583511,355.7251
1.543837,-0.6532296,355.8472
1.554419,-0.6482053,355.9713
1.56551,-0.6431878,356.1383
1.576855,-0.6382014,356.2562
1.587709,-0.6333438,356.4528
1.599075,-0.6285276,356.622
1.609928,-0.6235434,356.7567
1.621046,-0.6185621,356.8175
1.632181,-0.6135435,356.7809
1.643328,-0.6085097,356.6687
1.65436,-0.6033332,356.5578
1.665491,-0.5982136,356.4758
1.676561,-0.5930959,356.4125
1.687733,-0.5879614,356.3599
1.698795,-0.5827488,356.3415
1.709866,-0.5775834,356.3499
1.72102,-0.5724126,356.3881
1.7321,-0.5672264,356.4625
1.743242,-0.5621334,356.5603
1.754372,-0.5569767,356.6736
1.765581,-0.55187,356.7614
1.776798,-0.5466933,356.8234
1.787676,-0.5414978,356.8562
1.798758,-0.5362316,356.8694
1.809937,-0.5308766,356.8218
1.820957,-0.5255314,356.7578
1.832317,-0.520074,356.6578
1.843185,-0.5145864,356.5588
1.854311,-0.5090934,356.492
1.86537,-0.5035582,356.4467
1.876495,-0.4980346,356.4196
1.887674,-0.4924707,356.3918
1.898758,-0.4868082,356.3745
1.909975,-0.4810196,356.3631
1.92094,-0.4753188,356.3434
1.932186,-0.4694763,356.3425
1.943104,-0.4637223,356.3491
1.954235,-0.4580123,356.3632
