Time,Distance,Rotation
0,-0.9444321,353.5372
0.007451057,-0.9435887,353.5449
0.01872253,-0.9427487,353.542
0.02963829,-0.9420003,353.5479
0.04063416,-0.9411844,353.5481
0.05195999,-0.9404089,353.5532
0.06296635,-0.9395757,353.5651
0.07391453,-0.9386805,353.5616
0.08511829,-0.9377279,353.5677
0.09614182,-0.9367688,353.5639
0.1072464,-0.9357853,353.5704
0.1183281,-0.9348493,353.5869
0.1295424,-0.9339988,353.614
0.1406126,-0.9331429,353.6219
0.1516628,-0.9322869,353.6245
0.1635151,-0.9313343,353.6106
0.1746063,-0.9304287,353.6084
0.1851501,-0.9295051,353.6046
0.1961803,-0.9286335,353.6066
0.2072887,-0.9275826,353.6014
0.2185431,-0.9265016,353.5969
0.2294331,-0.925599,353.5898
0.2406254,-0.9246776,353.5789
0.2516794,-0.9237056,353.5726
0.2627411,-0.9227108,353.5647
0.2741833,-0.9217633,353.5624
0.2849646,-0.9207429,353.5473
0.2960539,-0.9196784,353.5315
0.3074732,-0.9186276,353.5129
0.3182859,-0.9174464,353.4952
0.3293724,-0.9165027,353.477
0.3404455,-0.915403,353.4673
0.3517456,-0.9143043,353.4597
0.362771,-0.9132102,353.4438
0.3738289,-0.9121131,353.4252
0.3850737,-0.9109668,353.403
0.3960457,-0.9098583,353.384
0.4073687,-0.9086963,353.3661
0.4181776,-0.9073904,353.34
0.4293051,-0.9061745,353.3211
0.4404106,-0.9048423,353.2981
0.4515343,-0.9035495,353.2768
0.4627056,-0.9022298,353.2661
0.4737911,-0.9009249,353.2439
0.485014,-0.8995818,353.2271
0.4960747,-0.8981391,353.1939
0.5070496,-0.8967274,353.1623
0.5181742,-0.8952056,353.13
0.5292645,-0.8937014,353.1049
0.5404301,-0.8921022,353.0857
0.5515585,-0.8904599,353.0812
0.5629578,-0.8888259,353.0775
0.5737143,-0.8871078,353.0692
0.5848446,-0.8854127,353.0753
0.5961866,-0.8836777,353.0949
0.6070232,-0.8819708,353.1055
0.618104,-0.8802437,353.1254
0.6292505,-0.8784754,353.1458
0.6403818,-0.8766158,353.2021
0.6514997,-0.8748526,353.2487
0.6625977,-0.8729967,353.3134
0.6736584,-0.8711942,353.3754
0.6847372,-0.8693196,353.4344
0.6958437,-0.8674148,353.4778
0.7074404,-0.8655331,353.5162
0.7180824,-0.863579,353.5412
0.7293892,-0.8615379,353.57
0.7402678,-0.8595241,353.5941
0.7514143,-0.8575369,353.6145
0.7625093,-0.8554825,353.6569
0.7736378,-0.8533987,353.6879
0.7846975,-0.8512492,353.7065
0.7960901,-0.8490844,353.7278
0.8069086,-0.846823,353.7119
0.8180447,-0.8444836,353.6855
0.8291426,-0.8420932,353.6289
0.840229,-0.8396877,353.5262
0.851346,-0.8372062,353.4059
0.8627777,-0.8347297,353.2695
0.8735752,-0.8322165,353.1181
0.8846436,-0.8297067,352.9859
0.8958616,-0.827101,352.9066
0.9068737,-0.8244478,352.8455
0.9179935,-0.8217169,352.8242
0.9293756,-0.8189051,352.8185
0.9401722,-0.8159361,352.851
0.9514313,-0.8129961,352.9033
0.9624653,-0.8099416,352.9566
0.9736061,-0.8067113,353.0335
0.984849,-0.803335,353.1275
0.9957352,-0.7999331,353.2228
1.006834,-0.7964348,353.3053
1.018044,-0.7927743,353.3706
1.029058,-0.7890533,353.419
1.040336,-0.7852002,353.4581
1.051268,-0.7813047,353.4918
1.062361,-0.7771566,353.5251
1.073571,-0.7729048,353.5386
1.084565,-0.7685213,353.5484
1.095941,-0.7640513,353.5573
1.107101,-0.759343,353.5818
1.117911,-0.7546256,353.5882
1.129016,-0.7498486,353.6027
1.140158,-0.7449619,353.618
1.151212,-0.7399791,353.631
1.163077,-0.7346367,353.6431
1.17348,-0.7294,353.6468
1.189165,-0.7241012,353.644
1.195673,-0.7186553,353.633
1.204758,-0.7131604,353.6002
1.21588,-0.7075442,353.5725
1.22699,-0.7018571,353.5521
1.23806,-0.696036,353.5052
1.249149,-0.6899762,353.4486
1.260361,-0.6838892,353.3864
