Time,Distance,Rotation
0,-0.8292311,350.1336
0.006545067,-0.8285958,350.1351
0.01721096,-0.8279068,350.1334
0.02829456,-0.8272337,350.1209
0.03938866,-0.8265525,350.1227
0.05058384,-0.8258319,350.1425
0.06187153,-0.8250329,350.1635
0.07273769,-0.8242919,350.1818
0.08413124,-0.8234838,350.234
0.09493828,-0.8226429,350.2748
0.1062841,-0.8217756,350.3312
0.1171999,-0.8208658,350.3824
0.1314354,-0.8199669,350.4288
0.139328,-0.8190169,350.4693
0.1504402,-0.8180599,350.5157
0.1616516,-0.8171035,350.5637
0.1733828,-0.816147,350.6104
0.1841526,-0.8151618,350.6482
0.1951647,-0.8141545,350.6789
0.2059841,-0.8130836,350.7021
0.2173681,-0.811983,350.7303
0.2281952,-0.8108952,350.7527
0.2393141,-0.8096445,350.7875
0.2506084,-0.808459,350.8339
0.2614841,-0.8071613,350.8967
0.2726879,-0.8059473,350.9666
0.2868223,-0.8044585,351.0519
0.2947903,-0.8031288,351.1343
0.3062353,-0.8016256,351.2143
0.3170433,-0.8001422,351.281
0.3281631,-0.7987243,351.3161
0.3392878,-0.7970428,351.3455
0.3505516,-0.7953447,351.3698
0.3619089,-0.7936275,351.3941
0.3731709,-0.7918351,351.4375
0.3842478,-0.7897986,351.4513
0.3955679,-0.7877885,351.482
0.4068165,-0.7855844,351.5107
0.4180841,-0.7833334,351.536
0.4293118,-0.7809551,351.5501
0.443697,-0.7785844,351.5614
0.451683,-0.7761778,351.573
0.4631224,-0.7736088,351.5792
0.4741335,-0.7709607,351.5858
0.485178,-0.7682762,351.5854
0.4963169,-0.7655414,351.5789
0.5074377,-0.7626395,351.5732
0.5187511,-0.7597492,351.571
0.5296335,-0.7566283,351.5571
0.5407791,-0.7534755,351.5459
0.5519657,-0.7502017,351.5382
0.5629711,-0.7467511,351.5309
0.5740814,-0.7432388,351.5274
0.5853138,-0.7397009,351.5183
0.5996256,-0.7360117,351.5293
0.6073875,-0.7322681,351.5293
0.6185617,-0.7284098,351.5542
0.6296015,-0.7244838,351.5935
0.6406689,-0.7204512,351.646
0.6517849,-0.7163665,351.701
0.6629181,-0.7122401,351.7187
0.6739988,-0.7079751,351.7155
0.6853418,-0.7037457,351.6848
0.6962128,-0.6993028,351.6474
0.7073364,-0.6948323,351.5927
0.7184544,-0.6903055,351.5612
0.729579,-0.6857839,351.5391
0.7408075,-0.6812116,351.5273
0.7550383,-0.676459,351.5244
0.7628651,-0.671702,351.515
0.774004,-0.6668433,351.4889
0.7853642,-0.6618004,351.442
0.7961836,-0.656749,351.3496
0.8072948,-0.6516173,351.2621
0.8186483,-0.6463479,351.1524
0.8295212,-0.6411115,351.0489
0.840601,-0.6357911,350.945
0.8517466,-0.6303929,350.8327
0.8628283,-0.6249518,350.7365
0.8739109,-0.6193039,350.7271
0.8853397,-0.6137891,350.7355
