Time,Distance,Rotation
0,-1.119742,343.3062
0.007768154,-1.119589,343.3282
0.01877832,-1.119462,343.3678
0.03009748,-1.11939,343.4177
0.04096842,-1.119365,343.4733
0.05235243,-1.119325,343.5404
0.06358957,-1.119341,343.6049
0.07492685,-1.119352,343.6696
0.08551598,-1.119452,343.7332
0.09680462,-1.119517,343.8044
0.107585,-1.119392,343.8601
0.1187272,-1.119509,343.9152
0.1304851,-1.119653,343.9504
0.1409168,-1.119804,343.9884
0.1520963,-1.119941,344.0149
0.1631718,-1.119969,344.0298
0.1742253,-1.120069,344.016
0.1856666,-1.120123,343.9931
0.196444,-1.120243,343.9585
0.2075295,-1.120295,343.9191
0.2186265,-1.120332,343.8924
0.2297745,-1.120406,343.8745
0.24087,-1.120565,343.8667
0.2520428,-1.120673,343.853
0.2632251,-1.120826,343.8434
0.2741809,-1.120935,343.8228
0.285275,-1.12099,343.7904
0.29638,-1.121027,343.7367
0.3074918,-1.12107,343.6651
0.3187766,-1.121085,343.5818
0.3299985,-1.121042,343.4991
0.3412261,-1.121088,343.4221
0.3525562,-1.120965,343.3651
0.363832,-1.120982,343.3269
0.375144,-1.120957,343.3189
0.386519,-1.120817,343.3063
0.3977022,-1.120648,343.3206
0.4088292,-1.120434,343.3221
0.4199343,-1.120166,343.3187
0.4310632,-1.119812,343.2948
0.4423442,-1.119441,343.2593
0.4532585,-1.119085,343.2339
0.4645071,-1.118597,343.1962
0.4754424,-1.118029,343.1632
0.4866624,-1.117512,343.1041
0.4977036,-1.116785,343.0441
0.5087948,-1.116141,342.9704
0.5199213,-1.115321,342.8928
0.531033,-1.114484,342.8261
0.5423832,-1.113699,342.7588
0.5531745,-1.112793,342.7275
0.5643954,-1.111763,342.6993
0.5754118,-1.110776,342.687
0.5865111,-1.109714,342.6924
0.5977769,-1.108659,342.734
0.6087003,-1.107516,342.7764
0.6200132,-1.106434,342.8039
0.6312103,-1.10526,342.7901
0.6425676,-1.10411,342.7646
0.6532545,-1.102782,342.7229
0.6643496,-1.101569,342.6891
0.6754098,-1.10027,342.6808
0.6865325,-1.098829,342.6713
0.6978159,-1.097481,342.6432
0.7087154,-1.096041,342.5867
0.7198992,-1.094531,342.5358
0.7310677,-1.092986,342.4886
0.7420769,-1.091391,342.4637
0.7531171,-1.089723,342.4445
0.7641954,-1.087995,342.424
0.7753129,-1.086399,342.4059
0.7867355,-1.084678,342.4106
0.7975407,-1.083022,342.4263
0.8086586,-1.081214,342.4352
0.8197298,-1.079262,342.4399
0.8308387,-1.077443,342.408
0.8421812,-1.075293,342.3947
0.8532863,-1.073269,342.3816
0.8643961,-1.071263,342.4014
0.8754635,-1.069178,342.4268
0.8864036,-1.067134,342.4269
0.897604,-1.064725,342.4071
0.9086132,-1.062237,342.3924
0.9200368,-1.059756,342.3886
0.9308462,-1.057271,342.3659
0.9418912,-1.054715,342.3278
0.9530191,-1.052084,342.2925
0.9644022,-1.049326,342.2649
0.9753709,-1.04653,342.2144
0.9865475,-1.043719,342.1614
0.9976568,-1.040811,342.0968
1.008785,-1.03785,342.0134
1.01976,-1.034773,341.9832
1.030868,-1.031622,341.9527
1.041856,-1.02828,341.9047
1.053006,-1.024936,341.8417
1.064075,-1.021531,341.7937
1.075187,-1.018039,341.7617
1.086271,-1.014473,341.7346
1.09759,-1.0109,341.7292
1.108487,-1.007201,341.7224
1.119599,-1.00333,341.7306
1.130866,-0.9991837,341.748
1.141916,-0.995231,341.744
1.152955,-0.9911845,341.7283
1.164181,-0.9872208,341.7006
1.175421,-0.9830323,341.6758
1.186297,-0.9787378,341.6299
1.197684,-0.9743522,341.5893
1.208481,-0.9697955,341.5627
1.219792,-0.9650847,341.5148
1.230654,-0.9602706,341.4575
1.24178,-0.9554855,341.3875
1.252861,-0.9505166,341.3449
1.263952,-0.9455307,341.3112
1.275161,-0.9403643,341.2668
1.286257,-0.9350393,341.2278
1.297357,-0.9297348,341.1996
