Time,Distance,Rotation
0,-1.064339,356.405
0.007832527,-1.063276,356.6001
0.01859093,-1.06225,356.7906
0.02967072,-1.061159,356.9785
0.04073524,-1.060019,357.1731
0.05228329,-1.058812,357.3531
0.06337357,-1.057604,357.542
0.0742836,-1.056225,357.7302
0.08513832,-1.054904,357.9426
0.09640789,-1.053467,358.1812
0.1073627,-1.052037,358.4822
0.1185246,-1.050444,358.8601
0.1297712,-1.048914,359.2909
0.1407185,-1.047346,359.8153
0.1518908,-1.045774,0.3571943
0.1635036,-1.044178,0.9424313
0.1747885,-1.042502,1.536831
0.1851625,-1.040779,2.141543
0.1962252,-1.039034,2.697429
0.2074165,-1.037287,3.222663
0.2184677,-1.035291,3.703937
0.2296352,-1.033355,4.169855
0.2406092,-1.031414,4.623328
0.252039,-1.029301,5.081395
0.2631083,-1.027294,5.54583
0.274539,-1.025221,6.025078
0.2850494,-1.02312,6.476723
0.2962236,-1.021011,6.909371
0.307332,-1.018643,7.224519
0.3183727,-1.016457,7.474562
0.3297081,-1.014117,7.624807
0.3406324,-1.011767,7.734306
0.3518353,-1.009208,7.858692
0.363102,-1.00663,7.960061
0.3742485,-1.003974,8.079886
0.3849983,-1.001326,8.205812
0.3961267,-0.9985706,8.339153
0.4072371,-0.9958031,8.483818
0.4183283,-0.9930032,8.623948
0.4299717,-0.9901562,8.773496
0.440526,-0.9871884,8.926435
0.4516611,-0.9840823,9.074656
0.4627485,-0.9808697,9.227777
0.4738827,-0.9775354,9.35537
0.4850283,-0.9740838,9.441918
0.4961348,-0.9705232,9.510568
0.5071888,-0.9667636,9.558305
0.5187111,-0.9629321,9.609377
0.5294247,-0.9588605,9.686543
0.5408154,-0.9547801,9.792551
0.552331,-0.9505951,9.924491
0.5629263,-0.9463762,10.08302
0.5739641,-0.9420343,10.27766
0.5850067,-0.9376035,10.49772
0.5960951,-0.9332048,10.74112
0.6072226,-0.9285154,11.03746
0.6183434,-0.9239422,11.3666
0.629385,-0.9192321,11.7406
0.6404877,-0.9144553,12.13235
0.6523085,-0.9095961,12.49334
0.6626978,-0.9046444,12.78344
0.6738729,-0.8996325,13.02518
0.6849051,-0.8943915,13.20652
0.6960335,-0.8894083,13.3904
0.7071047,-0.8842729,13.61487
0.7184677,-0.8793625,13.92469
0.7300997,-0.874676,14.34154
0.740695,-0.8701379,14.83366
0.7515316,-0.8656281,15.37575
0.7627153,-0.8612047,15.95264
0.7737675,-0.8569645,16.57553
0.7848492,-0.8526775,17.23925
0.7959824,-0.8484408,17.85917
0.8073778,-0.8442386,18.42158
0.8181486,-0.8398715,18.88571
0.8293428,-0.8354232,19.2328
0.840416,-0.8309367,19.45658
0.8514681,-0.8264256,19.60584
0.8626146,-0.8217906,19.71426
0.8737364,-0.8172784,19.80424
0.8849306,-0.8126384,19.94476
0.8960333,-0.8081672,20.13651
0.9071541,-0.803669,20.37863
0.9182997,-0.7993693,20.6147
0.9294205,-0.7950104,20.85411
0.9405155,-0.7907377,21.09877
0.9515562,-0.7864254,21.39444
0.9628105,-0.7820326,21.71323
0.9739943,-0.7777991,22.02732
0.9851379,-0.773545,22.33477
0.9959946,-0.7693213,22.61012
1.007232,-0.7649988,22.86418
1.018216,-0.7606568,23.11095
1.029227,-0.7561741,23.34083
1.040394,-0.7516633,23.53751
1.051575,-0.747137,23.71356
1.062524,-0.7423637,23.8417
1.07365,-0.7375466,23.88137
1.085005,-0.7326818,23.8761
1.095824,-0.7277039,23.79051
1.106973,-0.7225429,23.74162
1.118061,-0.7173793,23.67613
1.129301,-0.712227,23.63415
1.14051,-0.7070875,23.61175
1.15136,-0.701857,23.59929
1.162817,-0.6964021,23.5837
1.17389,-0.6909647,23.49302
1.184892,-0.6852541,23.31862
1.196131,-0.6793936,23.07956
1.207239,-0.6734354,22.7798
1.217958,-0.6674786,22.45114
1.229359,-0.6613401,22.09811
1.240457,-0.6551359,21.72949
1.25132,-0.6488074,21.32359
1.262609,-0.6423022,20.93308
1.273533,-0.6358609,20.55375
1.284598,-0.6294445,20.19225
1.296031,-0.622762,19.81597
1.307191,-0.616361,19.45045
1.31826,-0.6097193,19.0382
1.329368,-0.6030471,18.58023
1.340174,-0.5964766,18.12292
1.351272,-0.5897075,17.68977
1.362366,-0.5830301,17.32893
1.373458,-0.5761812,16.97557
1.384573,-0.5692366,16.56821
1.3957,-0.5622382,16.11895
1.40682,-0.555389,15.65992
1.417952,-0.5484049,15.23156
1.42902,-0.5413668,14.85304
1.440243,-0.5344914,14.50452
1.451262,-0.5277255,14.18001
1.462424,-0.5211065,13.8087
1.473732,-0.5144272,13.40147
1.484565,-0.5078565,12.90634
1.495647,-0.5013188,12.40285
1.506824,-0.494953,11.85502
1.517837,-0.4888102,11.35912
1.529109,-0.4826269,10.90739
1.540198,-0.4766879,10.48444
1.551271,-0.4707531,10.02822
1.562357,-0.464901,9.520078
1.573392,-0.4590394,8.971776
1.584465,-0.4531872,8.473795
1.595594,-0.4473554,8.069366
1.6068,-0.441581,7.77889
1.618078,-0.4358974,7.611443
1.629147,-0.4303939,7.5112
1.640186,-0.42509,7.389995
1.651104,-0.4198092,7.211907
1.662264,-0.4144562,7.004359
1.673342,-0.4091097,6.814944
1.684548,-0.4038236,6.629082
1.695571,-0.3985654,6.438232
1.706757,-0.3933396,6.234801
1.717775,-0.3882186,6.009426
1.729146,-0.3830527,5.775043
1.740354,-0.3778172,5.543305
1.751107,-0.3725227,5.295731
1.762259,-0.3672488,5.082058
1.773326,-0.3620051,4.887662
1.784375,-0.3567342,4.722397
1.795527,-0.3515481,4.56112
1.8066,-0.346234,4.424407
1.81779,-0.3409504,4.308402
1.828929,-0.3355244,4.228398
1.83994,-0.3300865,4.125507
1.850997,-0.3245269,4.017776
1.862122,-0.3188255,3.88814
1.873384,-0.3131745,3.763698
1.884894,-0.3075962,3.670228
1.895567,-0.3021142,3.592358
1.90684,-0.296465,3.538285
1.917732,-0.2908103,3.459809
1.928793,-0.2851181,3.376128
1.939906,-0.2793901,3.277421
1.95107,-0.2734382,3.170224
1.962379,-0.2675678,3.061893
1.973458,-0.2617,2.958366
1.984764,-0.2557341,2.834915
1.99541,-0.2498425,2.691522
2.006506,-0.2438399,2.49304
2.017599,-0.2377555,2.263269
2.028854,-0.2315444,1.999712
2.040048,-0.2252686,1.789176
2.051117,-0.2189611,1.687557
2.062022,-0.2127252,1.59126
2.073387,-0.2064896,1.457504
2.084657,-0.199975,1.188049
2.095406,-0.1933856,0.9160532
2.106512,-0.1868091,0.727813
2.117579,-0.180261,0.6244085
2.128709,-0.1739413,0.5746709
2.139769,-0.1676506,0.5381311
2.150903,-0.1614531,0.4659662
2.162027,-0.1552351,0.3578345
2.173362,-0.1490278,0.2081932
2.184356,-0.1428357,-0.005623974
2.195315,-0.1366202,359.8061
2.206445,-0.1304818,359.5914
2.21752,-0.1243446,359.3816
2.228989,-0.1182867,359.1436
2.240239,-0.1121782,358.9236
2.250893,-0.1061834,358.7303
2.26196,-0.100255,358.5928
2.2731,-0.0942148,358.4828
2.284425,-0.08829284,358.4642
2.29529,-0.08230078,358.4692
2.306618,-0.07648432,358.5284
2.317471,-0.07076931,358.6281
2.328603,-0.06496418,358.7141
2.339725,-0.05918014,358.7688
2.350924,-0.05332541,358.79
2.361917,-0.04746377,358.7655
2.37335,-0.04143441,358.7314
2.384193,-0.03551221,358.6891
2.395272,-0.02950513,358.6224
2.406356,-0.02356112,358.5697
2.417421,-0.01743639,358.4962
2.428547,-0.01137877,358.417
2.439837,-0.005224466,358.3531
2.450912,0.0009442568,358.3109
2.461966,0.007286668,358.2883
2.472968,0.01354516,358.2652
2.484076,0.01995194,358.2408
2.495199,0.02633405,358.2047
2.506694,0.03278339,358.1386
2.517769,0.03919125,358.0808
2.528688,0.04559255,358.032
2.540004,0.05214226,357.9895
2.550928,0.0587256,357.9752
2.562134,0.06531465,357.9542
2.573188,0.07196319,357.9092
2.584223,0.0785892,357.8373
2.595414,0.08524323,357.7488
2.606437,0.09193599,357.6393
2.617362,0.0985837,357.543
2.628778,0.1052792,357.4583
2.639946,0.1118758,357.3821
2.65107,0.1185552,357.3266
2.661778,0.1252412,357.3268
2.673328,0.1319151,357.3357
2.684214,0.1385627,357.3599
2.695183,0.1452302,357.4249
2.707126,0.1520609,357.4779
2.7174,0.1587027,357.4854
2.728442,0.1654483,357.4559
2.73959,0.1723324,357.4035
2.750776,0.1791116,357.3648
2.762285,0.1857594,357.3651
2.773218,0.1923589,357.3805
2.783953,0.198826,357.3774
2.795115,0.205258,357.3584
2.806179,0.211558,357.2953
2.817297,0.2179357,357.192
2.828595,0.2242657,357.0451
2.840144,0.2305776,356.8902
2.850803,0.2368449,356.7266
2.861717,0.2431725,356.5822
2.872956,0.2494956,356.4681
2.88406,0.255936,356.4174
2.895037,0.2622243,356.417
2.906139,0.2685944,356.4225
2.917215,0.2749671,356.4466
2.928362,0.281334,356.4984
2.939454,0.2877053,356.5668
2.950558,0.2941266,356.6409
2.961955,0.3004843,356.7004
2.9728,0.3068522,356.7586
2.984025,0.3132035,356.802
2.994997,0.319554,356.8094
3.006266,0.3259612,356.7864
3.017516,0.3324989,356.7435
3.028584,0.3390018,356.7151
3.039377,0.3455693,356.6991
3.050483,0.3521618,356.6664
3.062385,0.3587936,356.6521
3.073274,0.3654674,356.6468
3.08429,0.3722421,356.6379
3.094954,0.3790592,356.6191
3.106361,0.3860096,356.5843
3.117419,0.3930885,356.5317
3.128568,0.4002813,356.4843
3.140084,0.4074434,356.4306
3.150481,0.414678,356.4007
3.162199,0.4219149,356.3889
3.172679,0.4292821,356.3947
3.183781,0.4366506,356.4077
3.19487,0.4441236,356.4316
3.205974,0.4515313,356.4319
3.217319,0.4590043,356.4045
3.228394,0.466422,356.3441
3.239507,0.4739581,356.2662
3.250397,0.4815885,356.1574
3.261488,0.4893132,356.0447
3.272856,0.4969662,355.9397
3.284339,0.5045694,355.8514
3.294826,0.5121754,355.8078
3.305962,0.5199169,355.757
3.317395,0.527557,355.729
3.328202,0.5353404,355.7494
3.339585,0.5432063,355.7695
3.350336,0.5507404,355.7287
3.361453,0.5583898,355.6614
3.372673,0.5659729,355.5814
3.383658,0.5735575,355.5052
3.394782,0.5811261,355.4524
3.406141,0.5885829,355.419
3.416974,0.5960349,355.3802
3.428294,0.6033894,355.2974
3.439824,0.6108299,355.1859
3.450293,0.6182758,355.0417
3.461424,0.6257316,354.9126
3.472898,0.6329762,354.8592
3.483627,0.6402959,354.8423
3.494739,0.6473793,354.8732
3.506027,0.6544391,354.8935
3.517017,0.6614271,354.8978
3.5281,0.66829,354.9034
3.539138,0.6749481,354.9323
3.550324,0.6815592,354.9805
3.561636,0.6881047,355.0272
3.572456,0.6945108,355.0989
3.583561,0.7009817,355.1729
3.594659,0.7073256,355.2487
3.605783,0.7137378,355.3054
3.617088,0.7200142,355.3438
3.628247,0.7262577,355.3681
3.643334,0.7325112,355.3631
3.650193,0.7387291,355.363
3.66001,0.7450136,355.3713
3.670863,0.7511574,355.3876
3.6819,0.75731,355.411
3.693084,0.763481,355.4275
3.70413,0.7696086,355.4138
3.715259,0.7758316,355.3829
3.726325,0.7820886,355.3454
3.737534,0.7884365,355.316
3.748608,0.7947766,355.2765
3.759682,0.8011612,355.2204
3.770771,0.8076421,355.143
3.781944,0.8140143,355.0554
3.793084,0.8204895,354.9703
3.804167,0.8270909,354.9174
3.815254,0.833685,354.8911
3.826443,0.8403245,354.8989
3.837584,0.8469759,354.9315
3.84865,0.8536175,354.9554
3.859785,0.8603061,355.0144
3.870852,0.866984,355.0671
3.881872,0.8737427,355.1379
3.893273,0.8806442,355.2
3.904086,0.8876213,355.2478
3.915443,0.8945829,355.2726
3.926329,0.9016043,355.2568
3.938306,0.9085249,355.2365
3.948765,0.9155613,355.1754
3.959758,0.9226412,355.1036
3.970756,0.9298221,355.0076
3.981818,0.9370962,354.8801
3.993018,0.9443625,354.7318
4.004328,0.951748,354.5286
4.015619,0.9591764,354.3397
4.026929,0.966884,354.1698
4.038136,0.9744979,354.1646
4.049316,0.9823035,354.0482
4.060534,0.9901601,354.0555
4.071684,0.9982094,354.039
4.082871,1.006161,353.9409
4.094164,1.014235,353.7444
4.105412,1.022466,353.5472
4.116616,1.030532,353.4299
4.128036,1.038472,353.4167
4.139103,1.046189,353.5212
4.150163,1.053836,353.6562
4.161121,1.061379,353.7354
4.17297,1.068896,353.7644
4.183381,1.076326,353.7055
4.194454,1.083722,353.5973
4.205547,1.091227,353.5101
4.216661,1.098734,353.4873
4.227735,1.106154,353.543
4.238828,1.113515,353.6757
4.250039,1.120705,353.8359
4.261063,1.127846,353.9863
4.27219,1.134978,354.1161
4.283272,1.142012,354.2102
4.294372,1.148991,354.3061
4.305496,1.155895,354.4232
4.316788,1.162779,354.5622
4.32797,1.16962,354.6775
4.339083,1.176227,354.7656
4.34991,1.182996,354.841
4.361005,1.189655,354.92
