Time (s),HMD_Position_X,HMD_Rotation_X
1.9164,-0.485680,2.438205
1.9273,-0.485602,2.424700
1.9388,-0.485411,2.429279
1.9499,-0.486117,2.390196
1.9614,-0.486752,2.435793
1.9724,-0.486677,2.442981
1.9838,-0.486847,2.422293
1.9950,-0.485707,2.487561
2.0063,-0.485523,2.483570
2.0177,-0.485684,2.449780
2.0330,-0.485667,2.460457
2.0456,-0.488751,2.368055
2.0513,-0.488965,2.377145
2.0610,-0.489114,2.383790
2.0721,-0.489499,2.366838
2.0832,-0.489596,2.356048
2.0943,-0.489882,2.357973
2.1057,-0.490077,2.358308
2.1166,-0.490158,2.367470
2.1278,-0.490379,2.356076
2.1389,-0.490314,2.358772
2.1499,-0.490415,2.366148
2.1611,-0.490576,2.342532
2.1722,-0.490784,2.346209
2.1875,-0.490719,2.334116
2.1944,-0.485827,2.495618
2.2054,-0.485601,2.493001
2.2166,-0.487915,2.444589
2.2277,-0.488270,2.439338
2.2387,-0.488396,2.430270
2.2500,-0.488529,2.427735
2.2611,-0.488589,2.420009
2.2720,-0.486738,2.585616
2.2832,-0.486669,2.561871
2.2943,-0.485666,2.658231
2.3054,-0.485594,2.644436
2.3165,-0.485819,2.706678
2.3276,-0.484730,2.735634
2.3423,-0.484501,2.713750
2.3569,-0.487331,2.672360
2.3609,-0.487480,2.662775
2.3703,-0.485822,2.758158
2.3815,-0.485686,2.737641
2.3928,-0.485621,2.734352
2.4038,-0.485496,2.726178
2.4148,-0.485521,2.721031
2.4259,-0.485447,2.718638
2.4373,-0.485350,2.695740
2.4482,-0.485724,2.753287
2.4594,-0.485622,2.739223
2.4705,-0.485569,2.748934
2.4817,-0.485480,2.725696
2.4963,-0.485631,2.769521
2.5036,-0.485543,2.775223
2.5148,-0.489051,2.686667
2.5261,-0.489231,2.676213
2.5369,-0.491399,2.632322
2.5482,-0.491836,2.623876
2.5592,-0.492128,2.625074
2.5703,-0.492302,2.632503
2.5815,-0.492329,2.642065
2.5927,-0.492254,2.642170
2.6036,-0.492534,2.645516
2.6148,-0.492638,2.647582
2.6261,-0.492406,2.659465
2.6370,-0.492217,2.668931
2.6521,-0.492312,2.660908
2.6594,-0.492164,2.663028
2.6703,-0.486220,2.871107
2.6813,-0.486001,2.867162
2.6924,-0.485209,2.948837
2.7038,-0.484963,2.953390
2.7150,-0.484278,2.953348
2.7262,-0.488246,2.893258
2.7377,-0.488250,2.863107
2.7489,-0.488291,2.862264
2.7602,-0.488329,2.857326
2.7715,-0.488565,2.827667
2.7828,-0.488608,2.836098
2.7946,-0.488694,2.813738
2.8092,-0.488627,2.813820
2.8231,-0.485590,2.915382
2.8283,-0.486122,2.931106
2.8376,-0.485984,2.926690
2.8487,-0.486010,2.930135
2.8601,-0.485878,2.929038
2.8709,-0.485899,2.897300
2.8820,-0.485740,2.899145
2.8931,-0.485672,2.872605
2.9042,-0.484354,2.909870
2.9154,-0.485237,2.865906
2.9265,-0.485084,2.856519
2.9375,-0.484919,2.866048
2.9488,-0.485031,2.833644
2.9637,-0.484879,2.823884
2.9709,-0.484798,2.820439
2.9819,-0.484637,2.814116
2.9931,-0.484473,2.817907
3.0041,-0.484684,2.817965
3.0155,-0.485103,2.790539
3.0265,-0.485209,2.790759
3.0375,-0.484943,2.773588
3.0486,-0.484896,2.766445
3.0598,-0.484804,2.769614
3.0708,-0.485223,2.745857
3.0819,-0.485147,2.742807
3.0929,-0.486831,2.775893
3.1041,-0.485586,2.813488
3.1195,-0.485428,2.812238
3.1263,-0.485366,2.810418
3.1374,-0.485239,2.804228
3.1487,-0.486031,2.829950
3.1598,-0.485990,2.835628
3.1707,-0.486157,2.863709
3.1821,-0.486111,2.865984
3.1933,-0.486182,2.842112
3.2047,-0.484989,2.895779
3.2163,-0.484813,2.881394
3.2275,-0.485226,2.895465
3.2386,-0.485122,2.899518
3.2499,-0.485010,2.901084
3.2612,-0.485056,2.885076
3.2763,-0.485111,2.874382
3.2899,-0.484973,2.899477
3.2949,-0.484972,2.886389
3.3044,-0.484990,2.872181
3.3154,-0.484888,2.858422
3.3265,-0.484659,2.863917
3.3377,-0.484532,2.875389
3.3487,-0.484407,2.865957
3.3598,-0.484420,2.864118
3.3710,-0.484168,2.865678
3.3820,-0.488666,2.810942
3.3932,-0.488811,2.747316
3.4042,-0.488910,2.797533
3.4154,-0.489118,2.739947
3.4304,-0.489161,2.819560
3.4376,-0.489317,2.804204
3.4487,-0.489019,2.804418
3.4601,-0.489153,2.779986
3.4709,-0.488975,2.815336
3.4820,-0.484932,3.061773
3.4931,-0.484660,3.078915
3.5042,-0.483908,3.095195
3.5155,-0.483663,3.080076
3.5265,-0.483444,3.066443
3.5375,-0.483147,3.036130
3.5487,-0.483100,3.033171
3.5599,-0.487260,2.921641
3.5709,-0.487070,3.001857
3.5858,-0.484787,3.198791
3.6007,-0.484162,3.097630
3.6041,-0.483203,3.221613
3.6137,-0.482494,3.048743
3.6247,-0.480627,3.042043
3.6359,-0.480414,2.939006
3.6471,-0.480147,2.914107
3.6580,-0.479898,2.830377
3.6692,-0.479376,3.025475
3.6802,-0.480431,3.116686
3.6918,-0.479183,3.141188
3.7024,-0.476792,3.433953
3.7136,-0.473156,3.667313
3.7247,-0.468819,4.043759
3.7398,-0.462833,5.223158
3.7470,-0.456752,5.991971
3.7580,-0.450030,6.797846
3.7691,-0.443409,7.117234
3.7801,-0.438072,7.733768
3.7913,-0.432345,8.096383
3.8024,-0.426219,7.973448
3.8135,-0.418806,7.814938
3.8246,-0.401500,8.099272
3.8357,-0.392649,8.125706
3.8468,-0.387011,7.864098
3.8579,-0.377374,7.543686
3.8691,-0.367426,6.795475
3.8803,-0.361142,5.481082
3.8961,-0.350302,4.485580
3.9024,-0.336532,3.271737
3.9138,-0.324415,2.449593
3.9248,-0.312643,1.655623
3.9357,-0.301198,0.723653
3.9468,-0.288468,359.794700
3.9581,-0.276647,358.914500
3.9695,-0.263777,358.086800
3.9808,-0.251602,357.168500
3.9925,-0.238175,356.317000
4.0035,-0.225111,355.390000
4.0149,-0.211073,354.419100
4.0262,-0.210566,351.685500
4.0377,-0.196590,351.042600
4.0530,-0.176062,349.611100
4.0669,-0.164344,348.504300
4.0714,-0.148912,348.278200
4.0811,-0.131401,347.460400
4.0922,-0.113936,347.450000
4.1033,-0.094939,346.990900
4.1146,-0.082761,347.026600
4.1257,-0.063138,346.677400
4.1366,-0.048079,347.006700
4.1478,-0.034189,347.063600
4.1591,-0.021906,347.073000
4.1701,-0.006239,347.552700
4.1812,0.012196,348.075600
4.1923,0.024989,348.743800
4.2073,0.043129,349.366000
4.2144,0.056660,350.238000
4.2255,0.074608,351.254600
4.2366,0.092415,352.233600
4.2477,0.105621,353.100400
4.2588,0.120796,353.631400
4.2699,0.133135,354.226400
4.2811,0.150674,354.524900
4.2921,0.163706,354.753200
4.3033,0.176594,354.873600
4.3143,0.190849,354.849300
4.3255,0.203643,354.863700
4.3365,0.217071,354.605200
4.3476,0.229574,354.525200
4.3625,0.251306,354.467500
4.3781,0.264164,354.101500
4.3809,0.285284,353.752000
4.3909,0.298488,353.220100
4.4021,0.316058,352.458000
4.4132,0.334254,351.641200
4.4243,0.347217,350.748700
4.4355,0.365036,349.954800
4.4469,0.377902,349.091900
4.4577,0.395129,348.382400
4.4687,0.408181,347.638800
4.4798,0.424562,346.967700
4.4909,0.438132,346.333200
4.5021,0.453990,345.778000
4.5170,0.467350,345.215200
4.5242,0.483383,344.741300
4.5353,0.499910,344.250400
4.5464,0.513015,343.745800
4.5576,0.528517,343.256900
4.5687,0.542349,342.817500
4.5798,0.556922,342.388800
4.5909,0.569827,342.096400
4.6020,0.584848,341.891100
4.6131,0.597350,341.751400
4.6242,0.609754,341.675400
4.6353,0.622261,341.666700
4.6465,0.634533,341.699900
4.6576,0.646776,341.779500
4.6727,0.660125,341.995100
4.6798,0.679951,342.400200
4.6909,0.693151,342.661300
4.7020,0.709341,343.087200
4.7131,0.724385,343.485300
4.7242,0.738168,343.962700
4.7352,0.752271,344.463000
4.7464,0.765851,344.992000
4.7578,0.780125,345.570800
4.7692,0.795020,346.185600
4.7805,0.808511,346.727500
4.7919,0.821835,347.252700
4.8034,0.836872,347.750000
4.8146,0.851718,348.240600
4.8298,0.866336,348.626400
4.8444,0.879703,348.953300
4.8485,0.896839,349.348700
4.8581,0.910579,349.584700
4.8692,0.926368,349.809400
4.8804,0.941094,349.913500
4.8918,0.955840,349.966500
4.9029,0.971303,350.012700
4.9140,0.985998,350.063900
4.9251,1.001770,350.078400
4.9359,1.016788,350.075800
4.9471,1.032561,350.023300
4.9581,1.048149,349.860600
4.9692,1.063148,349.565300
4.9843,1.071564,349.074500
4.9914,1.087477,348.769300
5.0025,1.102293,348.475700
5.0138,1.117988,348.261000
5.0247,1.133242,348.106700
5.0358,1.148075,348.011200
5.0469,1.164130,347.931200
5.0584,1.179982,347.851200
5.0691,1.192333,347.627400
5.0802,1.206374,347.440800
5.0913,1.221188,347.277400
5.1025,1.235174,347.076400
5.1135,1.250281,346.834200
5.1248,1.264555,346.525800
5.1405,1.279089,346.153900
5.1472,1.293297,345.764700
5.1581,1.307569,345.417100
5.1693,1.322558,345.167800
5.1803,1.336625,344.919100
5.1914,1.348276,344.654200
5.2027,1.362075,344.504700
5.2141,1.375383,344.393900
5.2253,1.388698,344.255700
5.2368,1.402555,344.132700
5.2480,1.416384,343.950300
5.2595,1.429032,343.763900
5.2706,1.442047,343.570700
5.2819,1.454658,343.399300
5.2972,1.467744,343.264400
5.3109,1.480500,343.137800
5.3158,1.495582,343.098500
5.3256,1.508729,343.050500
5.3364,1.522826,343.106200
5.3476,1.537150,343.124700
5.3589,1.549774,343.168100
5.3700,1.562417,343.181400
5.3811,1.574768,343.156100
5.3922,1.586998,343.154500
5.4031,1.599518,343.159400
5.4143,1.612133,343.179800
5.4255,1.625816,343.175400
5.4365,1.641577,343.120900
5.4515,1.656288,342.965700
5.4586,1.669252,342.679500
5.4697,1.682435,342.386300
5.4808,1.695315,342.091600
5.4920,1.708305,341.990100
5.5030,1.721708,341.984700
5.5141,1.735181,342.138000
5.5254,1.749178,342.344600
5.5365,1.762094,342.506200
5.5475,1.775858,342.558000
5.5586,1.789215,342.573400
5.5697,1.802475,342.588500
5.5810,1.815054,342.571900
5.5921,1.827986,342.588600
5.6070,1.841425,342.644200
5.6141,1.853554,342.584700
5.6252,1.866710,342.543200
5.6363,1.878570,342.452400
5.6476,1.891832,342.309900
5.6586,1.904055,342.147700
5.6700,1.915944,341.979700
5.6812,1.927551,341.828200
5.6925,1.939096,341.712200
5.7038,1.950884,341.638800
5.7151,1.961991,341.586900
5.7264,1.973365,341.557100
5.7377,1.984256,341.552800
5.7490,1.995047,341.587400
5.7640,2.005898,341.654100
5.7772,2.016176,341.763700
5.7826,2.026940,341.931200
5.7924,2.037024,342.100700
5.8038,2.047500,342.370100
5.8149,2.057227,342.649100
5.8259,2.067533,343.010700
5.8369,2.077116,343.351000
5.8481,2.086770,343.739800
5.8593,2.096366,344.132000
5.8703,2.105237,344.540100
5.8813,2.114583,344.944400
5.8924,2.123331,345.329800
5.9036,2.132565,345.733300
5.9189,2.140740,346.099900
5.9257,2.149979,346.499500
5.9368,2.157838,346.864100
5.9482,2.166685,347.250500
5.9590,2.175151,347.635300
5.9701,2.183405,347.976400
5.9813,2.191626,348.316500
5.9925,2.199606,348.600600
6.0035,2.207560,348.863600
6.0146,2.215299,349.053000
6.0259,2.223367,349.136500
6.0368,2.230310,349.068700
6.0479,2.238284,349.035900
6.0591,2.245566,348.920000
6.0741,2.252589,348.781600
6.0889,2.259652,348.538900
6.0923,2.266251,348.248100
6.1018,2.273199,348.019900
6.1126,2.279400,347.745100
6.1237,2.286434,347.555100
6.1350,2.292011,347.245100
6.1459,2.297927,346.918900
6.1572,2.302834,346.478100
6.1681,2.308431,346.059800
6.1795,2.313422,345.583600
6.1903,2.317349,345.045500
6.2014,2.321671,344.635100
6.2127,2.325636,344.274400
6.2279,2.328725,344.042800
6.2347,2.331719,343.712800
6.2460,2.334522,343.926500
6.2569,2.337461,344.314100
6.2683,2.340548,344.811500
6.2794,2.342656,345.257100
6.2904,2.344294,345.740800
6.3016,2.345568,346.229100
6.3128,2.346437,346.836600
6.3236,2.347449,347.468800
6.3347,2.348116,348.221800
6.3458,2.349601,349.124200
6.3571,2.349919,349.996800
6.3681,2.350836,350.903200
6.3831,2.351712,351.838000
6.3902,2.351630,352.750400
6.4014,2.351600,353.591200
6.4127,2.351290,354.292200
6.4237,2.351907,354.934000
6.4346,2.351497,355.567600
6.4460,2.351946,356.151000
6.4573,2.352307,356.691800
6.4686,2.352082,357.175400
6.4800,2.352690,357.533300
6.4914,2.352510,357.852300
6.5027,2.353147,358.113800
6.5141,2.353271,358.251400
6.5260,2.353997,358.306500
6.5405,2.354852,358.307900
6.5548,2.355129,358.197500
6.5592,2.356080,358.101100
6.5690,2.356584,358.002400
6.5801,2.357520,357.859500
6.5910,2.357882,357.654400
6.6023,2.358909,357.400100
6.6133,2.359272,357.247500
6.6243,2.360133,357.167700
6.6359,2.360166,357.018700
6.6466,2.361144,356.412400
6.6577,2.361446,356.466400
6.6688,2.362446,356.541900
6.6800,2.363143,356.196100
6.6951,2.363712,356.329500
6.7021,2.363633,356.448100
6.7132,2.363650,356.732200
6.7243,2.363656,356.819400
6.7354,2.363848,356.768600
6.7465,2.364074,356.772300
6.7578,2.364047,356.943600
6.7689,2.363922,356.874700
6.7798,2.364127,356.852800
6.7910,2.364008,356.767800
6.8020,2.364116,356.838600
6.8132,2.363985,356.822700
6.8243,2.363843,356.788700
6.8354,2.364000,356.790400
6.8503,2.363735,356.723600
6.8576,2.363902,356.647400
6.8688,2.363636,356.604400
6.8798,2.363903,356.601400
6.8910,2.363625,356.555800
6.9020,2.363647,356.457500
6.9136,2.363495,356.492300
6.9246,2.363614,356.617400
6.9359,2.363716,356.597700
6.9473,2.363500,356.571200
6.9586,2.363737,356.616400
6.9701,2.363553,356.599600
6.9813,2.363747,356.574900
6.9926,2.363620,356.577500
7.0076,2.363942,356.590300
7.0214,2.364029,356.624700
7.0264,2.363772,356.626300
7.0357,2.363932,356.611700
7.0469,2.363762,356.590300
7.0580,2.363969,356.616900
7.0693,2.363908,356.621800
7.0801,2.364095,356.647600
7.0913,2.364153,356.648700
7.1024,2.364216,356.635300
7.1135,2.364492,356.629700
7.1247,2.364256,356.633300
7.1359,2.364480,356.649300
7.1469,2.364257,356.649900
7.1620,2.364453,356.649400
7.1691,2.364337,356.638300
7.1802,2.364517,356.638800
7.1913,2.364400,356.642000
7.2023,2.364415,356.647400
7.2136,2.364331,356.656600
7.2246,2.364335,356.651200
7.2357,2.364594,356.647000
7.2468,2.364531,356.650300
7.2580,2.364631,356.663300
7.2690,2.364558,356.656000
7.2801,2.364654,356.664500
7.2913,2.364757,356.660700
7.3024,2.364706,356.659800
7.3173,2.364911,356.672200
7.3332,2.364758,356.671900
7.3356,2.364851,356.670300
7.3452,2.364763,356.677600
7.3564,2.364764,356.672900
7.3674,2.364652,356.661100
7.3786,2.364771,356.664200
7.3897,2.364613,356.669900
7.4007,2.364677,356.678700
7.4119,2.364669,356.676000
7.4231,2.364717,356.668500
7.4342,2.364634,356.669300
7.4453,2.364791,356.686900
7.4563,2.365076,356.689300
7.4714,2.364920,356.683700
7.4787,2.365007,356.692000
7.4898,2.365061,356.683900
7.5007,2.365075,356.681700
7.5118,2.364908,356.686100
7.5232,2.365144,356.692900
7.5340,2.365206,356.705000
7.5451,2.365078,356.699800
7.5563,2.365404,356.697600
7.5673,2.365457,356.699300
7.5784,2.365402,356.707400
7.5895,2.365455,356.702300
7.6009,2.365545,356.701600
7.6121,2.365393,356.702200
7.6273,2.365479,356.699500
7.6339,2.365356,356.704800
7.6451,2.365251,356.698800
7.6564,2.365399,356.706800
7.6673,2.365241,356.706700
7.6784,2.365411,356.706200
7.6896,2.365444,356.703600
7.7007,2.365424,356.700200
7.7117,2.365470,356.698300
7.7233,2.365320,356.704700
7.7344,2.365822,356.721100
7.7458,2.365657,356.716900
7.7572,2.366090,356.732200
7.7686,2.365974,356.725700
